client_id,sku,sconto_pct
C001,BIR-BAL-WAY-33V,6
C001,BIR-BEC-CLA-33V,18
C001,BIR-CER-RED-33V,5
C001,BIR-DRM-BIA-33V,11
C001,BIR-HEI-CLA-33V,16
C001,BIR-ICH-NON-33V,18
C001,BIR-MOR-IPA-33V,7
C001,BIR-PER-CLA-33L,15
C001,BIR-PER-CLA-66V,15
C001,BIR-PFR-ANL-33V,8
C001,JUC-PRY-PF-100T,14
C001,JUC-SAN-ORA-100T,14
C001,JUC-YOG-ACE-12V,18
C001,NRG-MON-ULT-50L,15
C001,NRG-REB-ZER-25L,17
C001,SOFT-CIN-SAN-25V,14
C001,SOFT-FAN-ORA-33L,9
C001,SOFT-ORA-TAS-33L,11
C001,SOFT-SCH-TON-20V,18
C001,SPI-AMR-MON-70V,17
C001,SPI-GIN-HEN-70V,10
C001,SPI-GRA-NON-70V,14
C001,SPI-RUM-HAV-03V,17
C001,SPI-RUM-ZAC-70V,5
C001,SPI-VER-MAB-100V,14
C001,WAT-NAT-LEV-150P,14
C001,WAT-NAT-SN-150P,11
C001,WAT-SAN-PEL-050P,18
C001,WIN-CHA-FRA-75V,15
C001,WIN-FRN-SAT-75V,19
C001,WIN-LUG-PRO-75V,19
C001,WIN-MON-DOC-75V,19
C001,WIN-PGR-FRI-75V,11
C001,WIN-PRO-DOC-75V,20
C002,APER-SPR-ORA-10V,10
C002,BIR-BAL-ISA-33V,7
C002,BIR-BEC-CLA-33V,14
C002,BIR-CER-RED-33V,15
C002,BIR-DRA-GOL-33V,7
C002,BIR-HEI-CLA-50L,12
C002,BIR-PER-CLA-33L,14
C002,BIR-PER-CLA-33V,12
C002,BIR-PFR-WEZ-50V,11
C002,JUC-YOG-ACE-12V,9
C002,JUC-YOG-PER-12V,5
C002,NRG-REB-ZER-25L,6
C002,SOFT-COK-CLA-33L,12
C002,SOFT-EST-LIM-33L,20
C002,SOFT-EST-PES-33L,7
C002,SOFT-FAN-ORA-33L,19
C002,SOFT-FAN-ZER-33L,18
C002,SOFT-SPR-LEM-33L,11
C002,SPI-AMR-DEL-70V,17
C002,SPI-AMR-MON-70V,20
C002,SPI-BIT-APE-100V,17
C002,SPI-GIN-TAN-70V,12
C002,SPI-GRA-903-70V,9
C002,SPI-LIQ-LIM-50V,5
C002,SPI-RUM-ZAC-70V,8
C002,SPI-TEQ-ESP-70V,18
C002,SPI-TEQ-JOS-70V,12
C002,SPI-VER-MAB-100V,10
C002,SPI-VER-MAR-100V,19
C002,SPI-VOD-GRE-70V,6
C002,SPI-WHI-JAC-100V,12
C002,SPI-WHI-LAV-70V,8
C002,WAT-FRI-SN-050P,19
C002,WAT-NAT-EV-050V,9
C002,WAT-NAT-LEV-050P,19
C002,WAT-NAT-LEV-150P,15
C002,WAT-NAT-SN-150P,19
C002,WAT-SAN-PEL-075V,18
C002,WIN-BRU-MON-75V,19
C002,WIN-CHA-VEU-75V,10
C002,WIN-CHI-DOC-75V,20
C002,WIN-FER-BRU-75V,19
C002,WIN-GAV-PIE-75V,13
C002,WIN-MON-DOC-75V,12
C002,WIN-SAU-FRI-75V,13
C003,BIR-BAL-WAY-33V,20
C003,BIR-CER-CLA-33V,12
C003,BIR-CER-RED-33V,13
C003,BIR-COR-EXT-35V,19
C003,BIR-MOR-IPA-33V,7
C003,BIR-PER-CLA-33L,14
C003,BIR-PER-CLA-66V,12
C003,JUC-SAN-AN-100T,13
C003,NRG-MON-CLA-50L,15
C003,SOFT-COK-ZER-150P,15
C003,SOFT-EST-PES-33L,7
C003,SOFT-LEM-TAS-33L,9
C003,SOFT-SPR-LEM-33L,9
C003,SPI-AMR-AVE-70V,12
C003,SPI-AMR-DEL-70V,17
C003,SPI-GRA-NON-70V,9
C003,SPI-LIQ-LIM-50V,11
C003,SPI-TEQ-ESP-70V,7
C003,SPI-TEQ-JOS-70V,18
C003,SPI-VOD-GRE-70V,18
C003,SPI-WHI-JAC-70V,15
C003,WAT-FER-NAT-050P,19
C003,WAT-FER-NAT-100V,18
C003,WAT-FRI-LEV-050P,6
C003,WAT-NAT-LEV-050P,11
C003,WIN-BOL-SUP-75V,18
C003,WIN-CHA-FRA-75V,17
C003,WIN-CHI-DOC-75V,5
C003,WIN-FLA-DOC-75V,17
C003,WIN-FRN-SAT-75V,20
C003,WIN-LAM-DOC-75V,5
C003,WIN-MON-DOC-75V,16
C003,WIN-PGR-FRI-75V,14
C003,WIN-VAL-RIP-75V,17
C004,APER-SPR-ORA-10V,18
C004,BIR-BAL-ISA-33V,12
C004,BIR-CER-RED-33V,20
C004,BIR-DRA-GOL-33V,12
C004,BIR-FIS-PRO-65V,13
C004,BIR-HEI-CLA-50L,18
C004,BIR-LEF-BLN-33V,20
C004,BIR-MOR-SIC-50V,5
C004,BIR-PER-CLA-33V,17
C004,JUC-SAN-AN-100T,15
C004,JUC-YOG-ACE-12V,17
C004,JUC-YOG-PES-12V,10
C004,NRG-REB-ZER-25L,19
C004,SOFT-SCH-LEM-20V,9
C004,SOFT-SCH-TON-20V,5
C004,SPI-AMR-AVE-70V,17
C004,SPI-AMR-DEL-70V,5
C004,SPI-AMR-MON-70V,7
C004,SPI-GRA-NON-70V,18
C004,SPI-VER-CAR-100V,9
C004,SPI-VOD-BEL-70V,19
C004,SPI-WHI-LAV-70V,10
C004,WAT-FRI-LEV-050P,6
C004,WAT-SAN-PEL-050P,13
C004,WIN-BOL-SUP-75V,17
C004,WIN-BRU-MON-75V,15
C004,WIN-CHA-FRA-75V,11
C004,WIN-FRN-SAT-75V,19
C004,WIN-GAV-PIE-75V,15
C004,WIN-LUG-PRO-75V,15
C004,WIN-MON-DOC-75V,17
C004,WIN-PGR-FRI-75V,13
C004,WIN-VAL-RIP-75V,18
C005,BIR-CER-CLA-33V,13
C005,BIR-COR-EXT-35V,7
C005,BIR-FIS-PRO-65V,20
C005,BIR-ICH-NON-50V,5
C005,BIR-MOR-IPA-33V,6
C005,BIR-MOR-RIC-33V,16
C005,BIR-PER-CLA-66V,12
C005,BIR-PFR-ANL-33V,7
C005,JUC-SAN-ORA-100T,6
C005,JUC-YOG-ACE-12V,5
C005,JUC-YOG-PES-12V,12
C005,NRG-REB-ZER-25L,11
C005,SOFT-COK-CLA-150P,5
C005,SOFT-COK-CLA-33L,9
C005,SOFT-COK-ZER-150P,12
C005,SOFT-EST-LIM-20B,9
C005,SOFT-EST-PES-33L,20
C005,SOFT-FAN-ZER-33L,8
C005,SOFT-ORA-TAS-33L,11
C005,SOFT-SCH-LEM-20V,19
C005,SPI-AMR-DEL-70V,13
C005,SPI-GIN-HEN-70V,16
C005,SPI-GIN-MAL-70V,10
C005,SPI-GIN-TAN-70V,8
C005,SPI-GRA-NON-70V,10
C005,SPI-LIQ-LIM-50V,14
C005,SPI-RUM-HAV-03V,8
C005,SPI-RUM-HAV-07V,5
C005,SPI-RUM-ZAC-70V,14
C005,SPI-VOD-GRE-70V,17
C005,SPI-WHI-JAC-100V,17
C005,SPI-WHI-LAV-70V,11
C005,WAT-FER-NAT-100V,7
C005,WAT-NAT-LEV-150P,12
C005,WAT-NAT-SN-050P,8
C005,WAT-SAN-PEL-075V,14
C005,WIN-BOL-SUP-75V,8
C005,WIN-FER-BRU-75V,6
C005,WIN-PGR-FRI-75V,16
C005,WIN-SAU-FRI-75V,18
C006,APER-CAM-RED-10V,16
C006,BIR-BEC-CLA-33V,7
C006,BIR-DRA-GOL-33V,15
C006,BIR-FRZ-CLA-33V,5
C006,BIR-GNS-DRA-44L,18
C006,BIR-ICH-NON-50V,20
C006,BIR-LEF-BRU-33V,8
C006,BIR-MOR-IPA-33V,18
C006,NRG-MON-ULT-50L,16
C006,SOFT-COK-CLA-33L,19
C006,SOFT-EST-LIM-33L,9
C006,SOFT-ORA-TAS-33L,18
C006,SOFT-SCH-LEM-20V,10
C006,SOFT-SPR-LEM-33L,13
C006,SPI-GRA-903-70V,20
C006,SPI-GRA-NON-70V,19
C006,SPI-LIQ-LIM-50V,18
C006,SPI-TEQ-ESP-70V,13
C006,SPI-VER-MAB-100V,15
C006,SPI-WHI-GLN-70V,12
C006,WAT-FER-NAT-050P,7
C006,WAT-FRI-LEV-050P,13
C006,WAT-FRI-SN-050P,19
C006,WAT-SAN-PEL-050P,12
C006,WIN-BAR-PIE-75V,19
C006,WIN-BRU-MON-75V,17
C006,WIN-ETN-ROS-75V,15
C006,WIN-FLA-DOC-75V,5
C007,APER-SPR-ORA-10V,20
C007,BIR-FRZ-CLA-33V,15
C007,BIR-LEF-BLN-33V,10
C007,BIR-PER-CLA-33L,20
C007,BIR-PER-CLA-66V,11
C007,BIR-PFR-ANL-33V,16
C007,BIR-TEN-SUP-33V,13
C007,JUC-ACE-PF-100T,15
C007,NRG-MON-ULT-50L,13
C007,NRG-REB-CLA-25L,13
C007,SOFT-COK-ZER-150P,5
C007,SOFT-EST-LIM-33L,11
C007,SOFT-FAN-ZER-33L,7
C007,SOFT-LEM-TAS-33L,12
C007,SPI-AMR-AVE-70V,18
C007,SPI-AMR-DEL-70V,20
C007,SPI-AMR-MON-70V,12
C007,SPI-GRA-NON-70V,20
C007,SPI-LIQ-SAM-70V,20
C007,SPI-VOD-ABS-70V,19
C007,SPI-WHI-JAC-70V,5
C007,WAT-FER-NAT-100V,7
C007,WAT-FRI-LEV-050P,14
